By occupation,Total Number of Workers in 2018,Median weekly earnings in 2018,Total Number of Men Workers in 2018,Median weekly earnings of men in 2018,Total Number of Women Workers in 2018,Median weekly earnings of women in 2018,Total Number of Workers in 2017,Median weekly earnings in 2017,Total Number of Men Workers in 2017,Median weekly earnings of men in 2017,Total Number of Women Workers in 2017,Median weekly earnings of women in 2017,Total Number of Workers in 2016,Median weekly earnings in 2016,Total Number of Men Workers in 2016,Median weekly earnings of men in 2016,Total Number of Women Workers in 2016,Median weekly earnings of women in 2016
Logisticians,127,"1,019",81,"1,131",46,–,101,"1,230",67,"1,358",33,–,111,"1,011",75,"1,116",37,–
Management analysts,635,"1,532",356,"1,642",279,"1,437",606,"1,499",351,"1,651",255,"1,315",585,"1,476",332,"1,586",253,"1,342"
"Meeting, convention, and event planners",89,"1,002",21,–,69,"1,006",102,"1,080",14,–,89,"1,064",119,867,30,–,88,852
Fundraisers,82,"1,262",22,–,60,"1,168",72,"1,152",17,–,55,"1,152",64,"1,111",22,–,42,–
Market research analysts and marketing specialists,299,"1,246",125,"1,503",174,"1,148",258,"1,174",110,"1,357",149,"1,061",246,"1,171",116,"1,345",130,"1,097"
"Business operations specialists, all other",223,"1,150",95,"1,234",127,"1,072",250,"1,136",118,"1,361",132,"1,013",257,"1,125",110,"1,263",146,"1,001"
Accountants and auditors,"1,615","1,209",646,"1,404",969,"1,108","1,512","1,173",622,"1,389",890,"1,065","1,451","1,153",559,"1,441",892,"1,018"
Appraisers and assessors of real estate,47,–,24,–,22,–,55,"1,074",35,–,20,–,31,–,19,–,13,–
Budget analysts,52,"1,351",17,–,35,–,54,"1,377",29,–,26,–,48,–,22,–,26,–
Credit analysts,27,–,12,–,14,–,27,–,13,–,15,–,28,–,15,–,13,–
Financial analysts,261,"1,470",138,"1,599",122,"1,197",264,"1,530",156,"1,590",108,"1,369",277,"1,525",173,"1,747",104,"1,252"
Personal financial advisors,414,"1,473",268,"1,647",146,"1,207",398,"1,425",267,"1,662",131,979,399,"1,404",258,"1,714",142,953
Insurance underwriters,122,"1,268",51,"1,413",71,"1,032",92,"1,153",35,–,57,"1,115",102,"1,113",34,–,68,910
Financial examiners,11,–,2,–,9,–,15,–,8,–,7,–,13,–,7,–,6,–
Credit counselors and loan officers,332,"1,168",155,"1,443",177,948,320,"1,070",127,"1,332",193,958,351,"1,054",151,"1,331",200,926
"Tax examiners and collectors, and revenue agents",42,–,13,–,29,–,62,"1,078",28,–,33,–,58,"1,138",20,–,38,–
Tax preparers,62,"1,028",26,–,36,–,56,791,18,–,39,–,53,"1,049",20,–,33,–
"Financial specialists, all other",35,–,13,–,22,–,36,–,11,–,24,–,56,"1,155",20,–,37,–
Professional and related occupations,"28,945","1,176","13,017","1,425","15,929","1,024","27,794","1,160","12,400","1,391","15,394","1,014","26,907","1,141","11,995","1,364","14,912",998
Computer and mathematical occupations,"4,755","1,539","3,571","1,604","1,184","1,345","4,350","1,465","3,240","1,552","1,110","1,235","4,104","1,443","3,068","1,518","1,035","1,325"
Computer and information research scientists,20,–,16,–,4,–,23,–,13,–,9,–,20,–,13,–,7,–
Computer systems analysts,580,"1,521",358,"1,647",222,"1,246",522,"1,409",311,"1,495",211,"1,270",496,"1,393",314,"1,475",182,"1,328"
Information security analysts,93,"1,635",75,"1,625",18,–,94,"1,725",74,"1,773",20,–,85,"1,617",65,"1,826",20,–
Computer programmers,428,"1,591",338,"1,662",91,"1,445",423,"1,483",333,"1,539",89,"1,363",403,"1,398",300,"1,466",104,"1,312"
"Software developers, applications and systems software","1,611","1,864","1,283","1,894",327,"1,644","1,439","1,792","1,174","1,863",265,"1,543","1,351","1,776","1,084","1,863",266,"1,553"
Web developers,164,"1,333",115,"1,418",49,–,144,"1,235",98,"1,342",46,–,142,"1,236",97,"1,284",45,–
Computer support specialists,516,"1,085",376,"1,114",140,"1,015",443,"1,068",319,"1,134",124,919,491,"1,060",367,"1,078",124,"1,014"
Database administrators,108,"1,493",67,"1,573",40,–,93,"1,381",56,"1,745",37,–,83,"1,731",46,–,37,–
Network and computer systems administrators,192,"1,430",155,"1,478",37,–,193,"1,395",155,"1,396",38,–,197,"1,232",168,"1,250",29,–
Computer network architects,112,"1,765",102,"1,771",10,–,100,"1,636",97,"1,659",3,–,105,"1,502",93,"1,535",12,–
"Computer occupations, all other",678,"1,226",548,"1,238",131,"1,208",627,"1,194",484,"1,250",142,"1,059",524,"1,195",418,"1,244",106,"1,055"
Actuaries,35,–,24,–,11,–,23,–,16,–,7,–,12,–,11,–,1,–
Mathematicians,3,–,2,–,1,–,2,–,2,–,0,–,4,–,3,–,0,–
