By occupation,Total Number of Workers in 2018,Median weekly earnings in 2018,Total Number of Men Workers in 2018,Median weekly earnings of men in 2018,Total Number of Women Workers in 2018,Median weekly earnings of women in 2018,Total Number of Workers in 2017,Median weekly earnings in 2017,Total Number of Men Workers in 2017,Median weekly earnings of men in 2017,Total Number of Women Workers in 2017,Median weekly earnings of women in 2017,Total Number of Workers in 2016,Median weekly earnings in 2016,Total Number of Men Workers in 2016,Median weekly earnings of men in 2016,Total Number of Women Workers in 2016,Median weekly earnings of women in 2016
Protective service occupations,"2,836",848,"2,258",922,578,613,"2,739",852,"2,204",894,535,690,"2,697",809,"2,173",854,524,688
First-line supervisors of correctional officers,47,–,35,–,13,–,50,899,38,–,12,–,55,873,35,–,20,–
First-line supervisors of police and detectives,85,"1,460",74,"1,461",12,–,94,"1,348",81,"1,347",13,–,120,"1,324",97,"1,361",23,–
First-line supervisors of fire fighting and prevention workers,52,"1,304",50,"1,321",2,–,43,–,42,–,2,–,45,–,41,–,3,–
"First-line supervisors of protective service workers, all other",74,839,58,886,16,–,69,953,58,938,11,–,89,880,66,895,23,–
Firefighters,295,"1,126",280,"1,133",14,–,272,"1,123",264,"1,136",8,–,252,"1,065",244,"1,056",8,–
Fire inspectors,18,–,16,–,2,–,22,–,22,–,0,–,16,–,15,–,1,–
"Bailiffs, correctional officers, and jailers",394,742,289,811,105,646,390,771,284,825,106,669,365,749,275,793,91,672
Detectives and criminal investigators,157,"1,331",122,"1,317",35,–,142,"1,256",110,"1,291",32,–,132,"1,182",104,"1,251",28,–
Fish and game wardens,6,–,5,–,0,–,5,–,5,–,0,–,8,–,7,–,1,–
Parking enforcement workers,4,–,0,–,4,–,4,–,2,–,2,–,6,–,4,–,2,–
Police and sheriff's patrol officers,728,"1,092",622,"1,131",106,816,688,"1,015",595,"1,024",94,985,709,"1,004",609,"1,008",100,938
Transit and railroad police,1,–,1,–,0,–,6,–,4,–,2,–,2,–,2,–,0,–
Animal control workers,13,–,5,–,8,–,12,–,8,–,4,–,6,–,4,–,2,–
Private detectives and investigators,89,851,43,–,46,–,86,963,42,–,44,–,60,904,31,–,29,–
Security guards and gaming surveillance officers,781,596,594,636,187,506,740,596,570,616,170,548,727,585,576,597,152,516
Crossing guards,28,–,22,–,6,–,23,–,17,–,6,–,23,–,11,–,12,–
Transportation security screeners,33,–,27,–,6,–,43,–,32,–,11,–,40,–,23,–,16,–
"Lifeguards and other recreational, and all other protective service workers",31,–,15,–,16,–,49,–,30,–,19,–,42,–,28,–,14,–
Food preparation and serving related occupations,"4,394",501,"2,210",533,"2,184",473,"4,465",484,"2,359",502,"2,106",459,"4,619",465,"2,417",491,"2,202",434
Chefs and head cooks,365,615,300,624,65,562,382,634,310,655,72,514,356,614,288,632,68,519
First-line supervisors of food preparation and serving workers,397,583,166,668,231,539,427,537,200,613,227,500,425,528,174,666,251,485
Cooks,"1,325",486,804,518,521,437,"1,365",466,859,481,506,436,"1,408",444,892,459,515,421
Food preparation workers,473,463,206,486,267,446,510,425,242,449,269,410,477,419,215,432,262,413
Bartenders,275,581,124,601,151,560,210,554,98,600,112,515,253,602,131,701,122,498
"Combined food preparation and serving workers, including fast food",147,436,64,410,83,475,175,407,75,415,100,401,196,396,72,381,125,402
"Counter attendants, cafeteria, food concession, and coffee shop",41,–,19,–,22,–,65,460,29,–,36,–,68,374,20,–,49,–
Waiters and waitresses,932,496,321,551,611,478,911,493,319,533,592,475,949,470,342,504,607,441
"Food servers, nonrestaurant",106,484,32,–,74,475,88,473,28,–,59,468,104,479,33,–,71,445
Dining room and cafeteria attendants and bartender helpers,118,447,59,500,58,408,134,458,79,444,55,481,133,420,82,465,51,407
Dishwashers,111,441,89,434,22,–,131,401,111,408,19,–,172,389,142,388,30,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",102,471,24,–,78,473,67,401,9,–,58,400,74,442,24,–,50,432
"Food preparation and serving related workers, all other",2,–,1,–,1,–,1,–,1,–,1,–,3,–,2,–,1,–
Building and grounds cleaning and maintenance occupations,"3,695",551,"2,373",604,"1,322",477,"3,641",522,"2,373",573,"1,268",463,"3,602",510,"2,392",548,"1,210",454
First-line supervisors of housekeeping and janitorial workers,193,711,116,772,77,615,190,661,113,749,77,515,189,655,119,702,71,524
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",95,770,93,774,2,–,111,723,102,760,9,–,113,707,112,710,1,–
Janitors and building cleaners,"1,672",571,"1,193",607,480,491,"1,595",539,"1,136",574,459,481,"1,580",526,"1,139",564,441,476
Maids and housekeeping cleaners,825,467,102,559,723,457,815,450,128,508,687,439,781,441,120,497,661,427
Pest control workers,75,688,70,725,4,–,94,616,89,617,5,–,61,655,59,649,2,–
Grounds maintenance workers,834,572,798,576,36,–,837,525,805,526,31,–,878,502,844,503,34,–
Personal care and service occupations,"2,768",544,746,638,"2,022",517,"2,699",520,728,612,"1,971",503,"2,568",505,684,613,"1,884",482
First-line supervisors of gaming workers,125,793,83,914,43,–,126,797,73,837,53,763,127,792,68,840,59,717
First-line supervisors of personal service workers,86,747,27,–,60,739,76,619,31,–,45,–,62,651,25,–,37,–
Animal trainers,11,–,4,–,7,–,23,–,16,–,7,–,24,–,13,–,11,–
Nonfarm animal caretakers,102,555,24,–,79,548,99,506,21,–,78,504,88,485,17,–,71,489
Gaming services workers,73,654,37,–,36,–,66,692,37,–,28,–,64,624,33,–,31,–
Motion picture projectionists,0,–,0,–,0,–,0,–,0,–,0,–,2,–,2,–,0,–
"Ushers, lobby attendants, and ticket takers",5,–,3,–,3,–,8,–,6,–,2,–,14,–,6,–,8,–
Miscellaneous entertainment attendants and related workers,85,523,56,518,28,–,74,517,39,–,36,–,79,481,48,–,31,–
Embalmers and funeral attendants,11,–,8,–,3,–,15,–,8,–,7,–,3,–,1,–,2,–
"Morticians, undertakers, and funeral directors",27,–,20,–,7,–,22,–,19,–,3,–,23,–,18,–,5,–
Barbers,48,–,34,–,15,–,54,590,47,–,8,–,56,584,48,–,8,–
"Hairdressers, hairstylists, and cosmetologists",309,545,22,–,287,548,324,528,22,–,302,521,307,510,27,–,281,500
Miscellaneous personal appearance workers,258,523,52,615,206,512,235,567,48,–,187,538,205,490,37,–,167,466
"Baggage porters, bellhops, and concierges",73,620,59,652,13,–,70,547,56,543,14,–,56,625,46,–,10,–
Tour and travel guides,22,–,13,–,9,–,21,–,14,–,6,–,18,–,10,–,8,–
Childcare workers,437,500,32,–,405,492,448,482,35,–,413,474,405,452,24,–,381,451
Personal care aides,786,500,132,555,654,493,735,486,127,520,608,479,762,477,125,514,636,469
Recreation and fitness workers,208,603,100,724,109,543,200,616,82,726,118,565,192,596,92,668,100,517
Residential advisors,29,–,11,–,18,–,27,–,10,–,17,–,19,–,8,–,11,–
"Personal care and service workers, all other",74,522,32,–,42,–,76,570,37,–,40,–,61,573,35,–,26,–
Sales and office occupations,"23,714",742,"9,548",846,"14,166",696,"23,686",718,"9,481",834,"14,205",672,"23,625",698,"9,461",805,"14,163",649
Sales and related occupations,"10,077",798,"5,621",949,"4,455",651,"9,953",763,"5,598",934,"4,355",609,"9,759",744,"5,509",904,"4,250",590
First-line supervisors of retail sales workers,"2,421",795,"1,359",911,"1,062",672,"2,388",764,"1,376",891,"1,013",639,"2,368",743,"1,321",857,"1,047",630
First-line supervisors of non-retail sales workers,893,"1,153",588,"1,199",305,"1,054",815,"1,062",541,"1,151",274,965,781,"1,137",552,"1,161",230,"1,004"
Cashiers,"1,390",465,377,468,"1,013",463,"1,360",438,378,493,982,422,"1,367",414,402,475,965,403
Counter and rental clerks,82,729,51,769,30,–,78,607,48,–,31,–,84,517,47,–,36,–
Parts salespersons,109,702,98,718,11,–,115,786,108,800,7,–,96,639,85,643,11,–
Retail salespersons,"1,860",657,"1,144",764,716,543,"1,896",615,"1,160",704,736,523,"1,831",623,"1,103",730,728,514
Advertising sales agents,169,998,91,950,79,"1,053",193,887,87,895,106,882,203,"1,023",122,"1,034",81,999
Insurance sales agents,466,859,205,"1,048",261,809,440,897,198,"1,058",242,795,423,839,218,"1,166",205,676
"Securities, commodities, and financial services sales agents",197,"1,440",131,"1,639",66,"1,047",231,"1,332",154,"1,416",77,911,219,"1,351",155,"1,458",63,951
Travel agents,53,789,10,–,43,–,57,665,10,–,47,–,46,–,8,–,38,–
"Sales representatives, services, all other",427,"1,230",315,"1,345",113,933,458,"1,147",339,"1,332",120,902,427,"1,040",282,"1,202",145,826
"Sales representatives, wholesale and manufacturing","1,112","1,161",817,"1,239",295,"1,009","1,105","1,157",796,"1,222",308,956,"1,121","1,047",819,"1,140",302,872
"Models, demonstrators, and product promoters",15,–,3,–,11,–,16,–,4,–,12,–,14,–,8,–,6,–
Real estate brokers and sales agents,528,"1,019",236,"1,264",291,883,488,953,219,"1,159",269,818,493,983,209,"1,222",284,780
Sales engineers,38,–,34,–,4,–,39,–,36,–,3,–,40,–,35,–,5,–
Telemarketers,50,559,19,–,31,–,37,–,11,–,27,–,42,–,17,–,25,–
"Door-to-door sales workers, news and street vendors, and related workers",41,–,25,–,17,–,41,–,27,–,15,–,34,–,23,–,11,–
"Sales and related workers, all other",227,"1,036",118,"1,323",109,873,195,971,107,"1,147",89,799,171,805,103,946,68,709
Office and administrative support occupations,"13,637",717,"3,926",738,"9,711",711,"13,733",701,"3,884",735,"9,850",691,"13,866",679,"3,952",708,"9,913",669
First-line supervisors of office and administrative support workers,"1,279",885,386,"1,050",892,835,"1,261",867,408,987,854,819,"1,203",848,383,942,819,809
"Switchboard operators, including answering service",21,–,3,–,19,–,16,–,3,–,12,–,17,–,3,–,14,–
Telephone operators,29,–,6,–,22,–,35,–,9,–,27,–,36,–,5,–,31,–
"Communications equipment operators, all other",7,–,5,–,2,–,5,–,4,–,2,–,5,–,1,–,4,–
Bill and account collectors,114,711,28,–,85,694,130,674,38,–,92,655,144,625,39,–,105,650
Billing and posting clerks,417,721,56,664,361,725,405,696,58,718,347,691,404,666,44,–,360,660
"Bookkeeping, accounting, and auditing clerks",679,742,104,778,575,739,718,719,92,743,625,716,756,722,115,790,641,716
Gaming cage workers,7,–,1,–,6,–,11,–,0,–,11,–,9,–,1,–,8,–
Payroll and timekeeping clerks,111,827,11,–,100,807,103,765,13,–,89,767,125,786,15,–,110,785
Procurement clerks,30,–,16,–,14,–,29,–,14,–,15,–,25,–,9,–,16,–
Tellers,240,584,34,–,206,584,209,572,25,–,184,562,235,542,39,–,195,539
"Financial clerks, all other",77,839,30,–,48,–,74,902,26,–,48,–,62,708,18,–,44,–
Brokerage clerks,5,–,2,–,4,–,5,–,2,–,3,–,3,–,2,–,1,–
Correspondence clerks,5,–,2,–,3,–,6,–,0,–,5,–,5,–,0,–,5,–
"Court, municipal, and license clerks",78,897,17,–,61,804,79,738,17,–,62,718,79,691,19,–,60,681
"Credit authorizers, checkers, and clerks",50,818,21,–,30,–,50,807,20,–,31,–,41,–,8,–,33,–
Customer service representatives,"1,904",683,678,689,"1,226",680,"1,881",654,646,712,"1,234",637,"1,850",640,664,676,"1,185",623
"Eligibility interviewers, government programs",67,887,14,–,53,841,66,849,16,–,50,779,72,828,17,–,55,735
File clerks,110,650,23,–,86,624,135,704,26,–,109,706,134,676,21,–,113,680
"Hotel, motel, and resort desk clerks",85,520,29,–,56,505,84,486,35,–,49,–,102,513,36,–,66,500
"Interviewers, except eligibility and loan",114,702,18,–,96,686,106,671,16,–,89,683,105,639,7,–,98,634
"Library assistants, clerical",34,–,8,–,26,–,45,–,8,–,37,–,45,–,8,–,38,–
Loan interviewers and clerks,115,827,16,–,99,797,114,742,19,–,95,725,124,774,25,–,100,756
New accounts clerks,21,–,8,–,13,–,36,–,8,–,28,–,21,–,0,–,21,–
Order clerks,57,659,28,–,29,–,80,629,38,–,42,–,85,646,40,–,45,–
"Human resources assistants, except payroll and timekeeping",53,816,7,–,45,–,45,–,8,–,37,–,36,–,4,–,32,–
Receptionists and information clerks,934,605,81,593,853,606,892,602,66,652,826,599,951,583,103,600,848,581
Reservation and transportation ticket agents and travel clerks,109,745,50,681,60,766,99,739,43,–,56,691,102,705,46,–,56,646
"Information and record clerks, all other",95,733,24,–,71,724,92,691,19,–,74,683,104,654,31,–,73,631
Cargo and freight agents,18,–,6,–,12,–,14,–,10,–,4,–,23,–,14,–,9,–
Couriers and messengers,192,786,164,821,29,–,155,725,131,751,24,–,160,726,135,739,25,–
Dispatchers,270,783,108,926,162,725,255,710,110,753,145,691,279,704,126,734,153,671
"Meter readers, utilities",24,–,22,–,2,–,14,–,12,–,2,–,30,–,28,–,1,–
Postal service clerks,115,765,51,758,63,771,104,940,48,–,56,925,111,901,58,999,53,805
Postal service mail carriers,288,931,170,983,118,808,266,944,158,965,108,856,304,981,185,"1,020",119,931
"Postal service mail sorters, processors, and processing machine operators",53,980,22,–,32,–,49,–,26,–,23,–,56,783,33,–,23,–
"Production, planning, and expediting clerks",252,870,119,"1,004",134,790,238,911,118,"1,043",120,798,224,853,113,935,111,765
"Shipping, receiving, and traffic clerks",524,632,365,654,160,590,544,611,379,616,165,596,473,596,322,602,151,583
Stock clerks and order fillers,988,562,629,558,359,570,982,559,643,571,339,538,"1,014",530,643,533,371,526
"Weighers, measurers, checkers, and samplers, recordkeeping",44,–,30,–,14,–,43,–,22,–,21,–,45,–,21,–,24,–
Secretaries and administrative assistants,"1,977",759,122,903,"1,855",753,"2,165",739,119,852,"2,046",735,"2,210",713,133,831,"2,078",708
Computer operators,67,763,27,–,40,–,63,809,27,–,35,–,78,811,41,–,37,–
Data entry keyers,224,655,52,730,173,643,224,650,48,–,176,640,221,638,51,655,170,630
Word processors and typists,53,858,9,–,43,–,80,683,8,–,72,667,56,730,7,–,48,–
Desktop publishers,1,–,1,–,0,–,1,–,0,–,1,–,0,–,0,–,0,–
Insurance claims and policy processing clerks,211,719,36,–,175,713,223,714,34,–,189,711,251,665,40,–,210,658
"Mail clerks and mail machine operators, except postal service",44,–,31,–,13,–,46,–,30,–,16,–,56,619,33,–,23,–
"Office clerks, general",925,697,128,670,797,701,935,682,142,780,793,670,900,654,140,707,760,648
"Office machine operators, except computer",13,–,5,–,9,–,27,–,10,–,17,–,30,–,14,–,16,–
Proofreaders and copy markers,7,–,2,–,4,–,6,–,2,–,4,–,5,–,0,–,5,–
Statistical assistants,41,–,16,–,25,–,17,–,7,–,10,–,7,–,5,–,2,–
"Office and administrative support workers, all other",456,794,104,920,352,762,473,758,122,768,352,756,457,768,107,855,351,751
"Natural resources, construction, and maintenance occupations","11,546",824,"11,030",834,516,638,"11,509",801,"10,994",809,515,579,"11,022",786,"10,558",794,464,580
"Farming, fishing, and forestry occupations",850,581,667,602,183,483,962,539,756,585,206,471,842,520,673,544,169,465
"First-line supervisors of farming, fishing, and forestry workers",45,–,37,–,7,–,51,711,47,–,4,–,28,–,25,–,3,–
Agricultural inspectors,18,–,13,–,6,–,14,–,10,–,4,–,18,–,13,–,5,–
Animal breeders,2,–,2,–,0,–,3,–,3,–,0,–,2,–,1,–,1,–
"Graders and sorters, agricultural products",75,593,38,–,37,–,99,500,32,–,67,487,74,511,25,–,48,–
Miscellaneous agricultural workers,641,552,512,578,130,474,701,517,574,553,127,453,659,508,547,524,111,423
Fishers and related fishing workers,12,–,12,–,0,–,21,–,21,–,0,–,4,–,4,–,0,–
Hunters and trappers,3,–,3,–,0,–,2,–,0,–,1,–,1,–,1,–,0,–
Forest and conservation workers,17,–,15,–,3,–,25,–,23,–,2,–,17,–,17,–,1,–
Logging workers,36,–,36,–,0,–,47,–,46,–,1,–,39,–,39,–,0,–
Construction and extraction occupations,"6,414",808,"6,223",809,191,785,"6,147",796,"5,987",796,160,802,"5,979",784,"5,828",786,151,639
First-line supervisors of construction trades and extraction workers,541,"1,059",521,"1,073",20,–,520,"1,158",506,"1,166",14,–,558,"1,091",540,"1,101",18,–
Boilermakers,16,–,16,–,0,–,15,–,15,–,0,–,26,–,26,–,0,–
"Brickmasons, blockmasons, and stonemasons",102,763,100,761,2,–,121,787,121,787,0,–,119,741,119,741,0,–
Carpenters,973,756,953,759,20,–,870,789,851,789,19,–,839,730,828,733,11,–
"Carpet, floor, and tile installers and finishers",108,692,105,682,4,–,115,631,114,628,1,–,93,593,91,597,2,–
"Cement masons, concrete finishers, and terrazzo workers",46,–,46,–,0,–,47,–,45,–,2,–,47,–,47,–,0,–
Construction laborers,"1,470",717,"1,421",717,49,–,"1,443",670,"1,400",667,43,–,"1,322",692,"1,281",697,41,–
"Paving, surfacing, and tamping equipment operators",19,–,18,–,0,–,12,–,12,–,0,–,11,–,11,–,0,–
Pile-driver operators,1,–,1,–,0,–,2,–,2,–,0,–,4,–,4,–,0,–
Operating engineers and other construction equipment operators,328,905,323,905,5,–,324,868,318,868,6,–,334,920,328,922,6,–
"Drywall installers, ceiling tile installers, and tapers",125,704,124,707,1,–,114,634,112,628,1,–,138,600,137,601,1,–
Electricians,781,965,766,966,16,–,726,979,711,974,15,–,667,952,649,951,18,–
Glaziers,35,–,35,–,0,–,39,–,39,–,0,–,48,–,47,–,1,–
Insulation workers,49,–,48,–,1,–,52,768,49,–,3,–,42,–,40,–,2,–
"Painters, construction and maintenance",380,679,360,679,20,–,347,683,328,689,20,–,392,612,375,615,17,–
Paperhangers,3,–,3,–,0,–,1,–,1,–,0,–,0,–,0,–,0,–
"Pipelayers, plumbers, pipefitters, and steamfitters",531,921,514,916,17,–,497,866,489,865,8,–,475,927,464,925,11,–
Plasterers and stucco masons,15,–,14,–,1,–,24,–,24,–,0,–,25,–,25,–,0,–
Reinforcing iron and rebar workers,3,–,3,–,0,–,13,–,13,–,0,–,12,–,12,–,0,–
Roofers,148,687,146,686,2,–,174,621,174,621,0,–,161,623,158,624,3,–
Sheet metal workers,129,881,127,882,2,–,136,865,132,866,3,–,117,819,115,820,3,–
Structural iron and steel workers,52,934,51,941,1,–,43,–,41,–,2,–,61,976,60,983,1,–
Solar photovoltaic installers,9,–,9,–,0,–,7,–,7,–,0,–,10,–,10,–,0,–
"Helpers, construction trades",68,620,67,622,1,–,57,621,53,627,4,–,42,–,40,–,2,–
Construction and building inspectors,82,996,68,"1,015",14,–,63,974,60,"1,068",4,–,68,996,62,"1,040",6,–
Elevator installers and repairers,25,–,23,–,2,–,38,–,38,–,0,–,41,–,41,–,0,–
Fence erectors,21,–,21,–,0,–,26,–,25,–,1,–,30,–,29,–,0,–
Hazardous materials removal workers,30,–,27,–,3,–,27,–,20,–,6,–,28,–,24,–,4,–
Highway maintenance workers,109,781,105,772,4,–,91,761,88,770,4,–,85,745,83,723,2,–
Rail-track laying and maintenance equipment operators,12,–,12,–,0,–,10,–,10,–,0,–,8,–,8,–,0,–
Septic tank servicers and sewer pipe cleaners,6,–,6,–,0,–,6,–,6,–,0,–,9,–,9,–,0,–
Miscellaneous construction and related workers,25,–,24,–,0,–,15,–,14,–,1,–,17,–,17,–,0,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29,–,28,–,1,–,27,–,27,–,0,–,29,–,29,–,0,–
"Earth drillers, except oil and gas",23,–,23,–,0,–,17,–,17,–,0,–,23,–,23,–,0,–
"Explosives workers, ordnance handling experts, and blasters",14,–,14,–,0,–,12,–,12,–,0,–,10,–,9,–,0,–
Mining machine operators,59,"1,402",55,"1,389",4,–,49,–,49,–,0,–,48,–,48,–,0,–
"Roof bolters, mining",1,–,1,–,0,–,2,–,2,–,0,–,3,–,3,–,0,–
"Roustabouts, oil and gas",9,–,9,–,0,–,4,–,4,–,0,–,4,–,4,–,0,–
Helpers--extraction workers,2,–,2,–,0,–,5,–,5,–,1,–,3,–,3,–,0,–
Other extraction workers,35,–,34,–,0,–,54,900,52,907,2,–,29,–,29,–,0,–
"Installation, maintenance, and repair occupations","4,282",934,"4,140",936,142,823,"4,400",878,"4,251",883,149,736,"4,201",861,"4,057",863,144,783
"First-line supervisors of mechanics, installers, and repairers",270,"1,087",255,"1,111",15,–,244,"1,092",225,"1,089",19,–,246,"1,020",221,"1,016",25,–
"Computer, automated teller, and office machine repairers",157,932,137,940,20,–,173,819,156,833,17,–,165,851,150,861,15,–
Radio and telecommunications equipment installers and repairers,125,"1,131",108,"1,134",18,–,121,"1,010",113,"1,069",8,–,132,950,110,975,22,–
Avionics technicians,11,–,10,–,1,–,7,–,7,–,0,–,8,–,8,–,0,–
"Electric motor, power tool, and related repairers",22,–,20,–,2,–,30,–,30,–,0,–,26,–,23,–,2,–
"Electrical and electronics installers and repairers, transportation equipment",0,–,0,–,0,–,1,–,1,–,0,–,3,–,3,–,0,–
"Electrical and electronics repairers, industrial and utility",12,–,10,–,2,–,14,–,14,–,0,–,15,–,14,–,1,–
"Electronic equipment installers and repairers, motor vehicles",5,–,5,–,0,–,11,–,11,–,0,–,8,–,8,–,0,–
Electronic home entertainment equipment installers and repairers,29,–,29,–,0,–,38,–,38,–,0,–,33,–,32,–,1,–
Security and fire alarm systems installers,47,–,47,–,0,–,71,945,68,943,3,–,69,927,68,909,1,–
Aircraft mechanics and service technicians,155,"1,117",147,"1,141",7,–,153,"1,169",146,"1,175",6,–,136,"1,047",134,"1,053",2,–
Automotive body and related repairers,114,820,114,820,0,–,124,821,122,832,1,–,117,761,112,770,5,–
Automotive glass installers and repairers,22,–,21,–,1,–,21,–,21,–,0,–,14,–,14,–,0,–
Automotive service technicians and mechanics,709,800,698,802,10,–,752,761,737,764,15,–,688,730,677,729,11,–
Bus and truck mechanics and diesel engine specialists,358,942,352,943,5,–,367,887,362,887,4,–,298,874,297,875,1,–
Heavy vehicle and mobile equipment service technicians and mechanics,199,"1,013",196,"1,011",3,–,177,993,173,"1,005",4,–,198,964,198,964,0,–
Small engine mechanics,28,–,28,–,0,–,26,–,26,–,0,–,32,–,30,–,1,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",68,611,65,612,3,–,64,613,64,613,0,–,74,641,73,646,0,–
Control and valve installers and repairers,20,–,18,–,2,–,25,–,25,–,0,–,33,–,32,–,1,–
"Heating, air conditioning, and refrigeration mechanics and installers",384,890,381,891,3,–,376,830,369,832,7,–,361,864,357,868,4,–
Home appliance repairers,28,–,28,–,0,–,26,–,26,–,0,–,25,–,25,–,0,–
Industrial and refractory machinery mechanics,424,981,418,982,6,–,395,923,379,932,16,–,385,968,374,973,11,–
"Maintenance and repair workers, general",456,870,439,874,16,–,511,828,490,834,20,–,514,796,502,797,13,–
"Maintenance workers, machinery",23,–,23,–,0,–,25,–,25,–,0,–,20,–,19,–,1,–
Millwrights,40,–,39,–,1,–,40,–,39,–,1,–,35,–,35,–,0,–
Electrical power-line installers and repairers,129,"1,300",124,"1,292",5,–,132,"1,191",132,"1,191",0,–,126,"1,161",125,"1,165",1,–
Telecommunications line installers and repairers,196,"1,014",187,"1,026",9,–,187,879,181,876,5,–,172,850,168,824,4,–
Precision instrument and equipment repairers,46,–,39,–,6,–,44,–,34,–,10,–,56,910,46,–,10,–
Wind turbine service technicians,2,–,2,–,0,–,6,–,6,–,0,–,5,–,5,–,0,–
"Coin, vending, and amusement machine servicers and repairers",25,–,23,–,2,–,24,–,23,–,1,–,27,–,24,–,3,–
Commercial divers,0,–,0,–,0,–,0,–,0,–,0,–,1,–,1,–,0,–
Locksmiths and safe repairers,18,–,18,–,0,–,20,–,18,–,2,–,12,–,12,–,0,–
Manufactured building and mobile home installers,5,–,5,–,0,–,3,–,3,–,0,–,7,–,7,–,0,–
Riggers,13,–,13,–,0,–,13,–,13,–,0,–,11,–,11,–,0,–
Signal and track switch repairers,14,–,14,–,0,–,11,–,11,–,0,–,4,–,4,–,0,–
"Helpers--installation, maintenance, and repair workers",17,–,17,–,1,–,15,–,14,–,2,–,10,–,9,–,1,–
"Other installation, maintenance, and repair workers",111,827,108,837,3,–,156,774,150,772,6,–,137,773,130,782,8,–
"Production, transportation, and material moving occupations","15,210",707,"11,932",762,"3,279",561,"14,825",692,"11,705",736,"3,119",545,"14,606",665,"11,661",704,"2,945",531
Production occupations,"7,668",723,"5,627",793,"2,041",575,"7,589",701,"5,545",769,"2,044",564,"7,513",668,"5,564",723,"1,949",527
First-line supervisors of production and operating workers,792,980,642,"1,050",150,745,722,966,588,"1,007",133,716,729,923,599,972,131,723
"Aircraft structure, surfaces, rigging, and systems assemblers",6,–,5,–,1,–,1,–,0,–,1,–,6,–,4,–,2,–
"Electrical, electronics, and electromechanical assemblers",110,605,57,706,53,518,123,624,73,682,50,587,105,590,55,618,50,554
Engine and other machine assemblers,7,–,5,–,2,–,14,–,11,–,2,–,6,–,6,–,0,–
Structural metal fabricators and fitters,27,–,27,–,0,–,25,–,24,–,1,–,22,–,22,–,0,–
Miscellaneous assemblers and fabricators,989,663,641,723,348,583,957,630,595,700,362,559,990,601,645,625,345,559
Bakers,151,549,61,565,89,533,135,472,67,488,68,464,138,494,55,562,83,480
"Butchers and other meat, poultry, and fish processing workers",223,606,158,632,65,557,259,587,196,621,63,487,244,526,183,571,61,449
"Food and tobacco roasting, baking, and drying machine operators and tenders",3,–,3,–,0,–,7,–,4,–,3,–,16,–,14,–,2,–
Food batchmakers,55,557,21,–,34,–,70,575,32,–,38,–,81,537,40,–,42,–
Food cooking machine operators and tenders,8,–,3,–,5,–,8,–,3,–,5,–,7,–,6,–,1,–
"Food processing workers, all other",142,624,90,749,52,539,171,676,119,701,52,545,129,547,88,579,41,–
Computer control programmers and operators,106,882,94,890,12,–,100,868,88,912,12,–,85,802,80,843,6,–
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",17,–,12,–,4,–,18,–,17,–,1,–,13,–,11,–,2,–
"Forging machine setters, operators, and tenders, metal and plastic",5,–,5,–,0,–,9,–,8,–,1,–,5,–,5,–,0,–
"Rolling machine setters, operators, and tenders, metal and plastic",11,–,7,–,3,–,9,–,6,–,2,–,13,–,9,–,3,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",58,745,53,766,5,–,84,665,74,688,9,–,86,639,68,672,18,–
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",6,–,6,–,0,–,7,–,7,–,0,–,8,–,8,–,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",35,–,33,–,2,–,40,–,35,–,4,–,45,–,42,–,3,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",7,–,7,–,0,–,14,–,13,–,1,–,13,–,12,–,0,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",2,–,2,–,0,–,5,–,3,–,2,–,2,–,2,–,0,–
Machinists,309,863,293,878,16,–,343,831,326,834,16,–,326,824,313,844,13,–
"Metal furnace operators, tenders, pourers, and casters",17,–,16,–,1,–,23,–,20,–,3,–,31,–,30,–,1,–
"Model makers and patternmakers, metal and plastic",5,–,5,–,0,–,3,–,1,–,3,–,3,–,3,–,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,–,32,–,3,–,43,–,38,–,5,–,28,–,21,–,7,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,–,4,–,0,–,5,–,4,–,1,–,2,–,1,–,1,–
Tool and die makers,47,–,45,–,2,–,59,"1,007",56,"1,021",3,–,43,–,43,–,0,–
"Welding, soldering, and brazing workers",562,840,530,847,32,–,541,812,517,821,24,–,558,743,535,753,23,–
"Heat treating equipment setters, operators, and tenders, metal and plastic",10,–,8,–,2,–,2,–,1,–,1,–,2,–,2,–,0,–
"Layout workers, metal and plastic",10,–,9,–,1,–,11,–,11,–,0,–,6,–,6,–,0,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",17,–,13,–,4,–,16,–,14,–,2,–,21,–,20,–,2,–
"Tool grinders, filers, and sharpeners",1,–,1,–,0,–,7,–,7,–,0,–,4,–,4,–,0,–
"Metal workers and plastic workers, all other",356,698,290,724,66,611,381,654,303,679,78,574,380,626,306,658,74,565
