By education,Median weekly earnings in 2018,Gender
"Men, 25 years and over","1,026",Male
Less than a high school diploma,607,Male
"High school graduates, no college(3)",819,Male
Some college or associate degree,951,Male
"Some college, no degree",918,Male
Associate degree,994,Male
Bachelor's degree and higher,"1,524",Male
Bachelor's degree only,"1,384",Male
Advanced degree(4),"1,774",Male
"Women, 25 years and over",830,Female
Less than a high school diploma,469,Female
"High school graduates, no college(3)",616,Female
Some college or associate degree,717,Female
"Some college, no degree",694,Female
Associate degree,746,Female
Bachelor's degree and higher,"1,145",Female
Bachelor's degree only,"1,041",Female
Advanced degree(4),"1,323",Female
